Name,Price,Product Link,Build,Frequency,Processor,Display,Memory,Camera,Connectivity,Features,Battery
VivoY400,"Rs. 64,999",https://www.whatmobile.com.pk/Vivo_Y400,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),AMOLED Capacitive Touchscreen,"256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), 1/2.96"", PDAF + 2 MP, f/2.4, (depth), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Circle to Search, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6000 mAh
VivoY200 256GB,"Rs. 62,999",https://www.whatmobile.com.pk/Vivo_Y200-256GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 × 2.8 GHz + 4 × 1.9 GHz),AMOLED Capacitive Touchscreen,"256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8 + 2 MP, f/2.4, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-ion Non removable), 5000 mAh"
VivoY100 256GB,"Rs. 61,999",https://www.whatmobile.com.pk/Vivo_Y100-256GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 8GB RAM (+8GB of Extended RAM ), UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Non removable), 5000 mAh"
VivoY29,"Rs. 49,999",https://www.whatmobile.com.pk/Vivo_Y29,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), Ring-LED flash, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity, Circle to Search",Li-ion 6500 mAh
VivoY28 8GB,"Rs. 44,999",https://www.whatmobile.com.pk/Vivo_Y28-8GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,2.0 Ghz Octa Core,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM (+8GB Extended RAM), UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Non removable), 6000 mAh"
VivoY19s Pro,"Rs. 43,999",https://www.whatmobile.com.pk/Vivo_Y19s-Pro,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),IPS LCD Capacitive Touchscreen,"128GB Built-in, 6GB RAM (+6GB Extended RAM)","Dual Camera: 50 MP,  f/1.8 + 0.08 MP, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity",Li-ion 6000 mAh
VivoY21d,"Rs. 43,999",https://www.whatmobile.com.pk/Vivo_Y21d,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-Core (2 × 1.8 GHz + 6 × 1.8 GHz),IPS LCD Capacitive Touchscreen,"128GB Built-in, 6GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8 + 0.08 MP, f/2.2, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity",Li-ion 6500 mAh
VivoY18 6GB,"Rs. 42,999",https://www.whatmobile.com.pk/Vivo_Y18-6GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800SIM2: GSM 850 / 900 / 1800,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"Capacitive IPS LCD Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF+ 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, 2.4GHz/5GHz","Accelerometer, FingerPrint (Side-mounted), Proximity, Compass","(Li-ion Non removable), 5000 mAh"
VivoY19s 6GB,"Rs. 42,999",https://www.whatmobile.com.pk/Vivo_Y19s-6GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + Auxiliary lens, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Li-ion Non removable), 5500 mAh"
VivoY18,"Rs. 38,499",https://www.whatmobile.com.pk/Vivo_Y18,Android 14 OS,SIM1: GSM 850 / 900 / 1800SIM2: GSM 850 / 900 / 1800,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"Capacitive IPS LCD Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB(+4GB Expandable) RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), PDAF+ 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, 2.4GHz/5GHz","Accelerometer, FingerPrint (Side-mounted), Proximity, Compass","(Li-ion Non removable), 5000 mAh"
